PERSON_ID,PLAYER_LAST_NAME,PLAYER_FIRST_NAME,PLAYER_SLUG,TEAM_ID,TEAM_SLUG,IS_DEFUNCT,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,JERSEY_NUMBER,POSITION,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,ROSTER_STATUS,FROM_YEAR,TO_YEAR,PTS,REB,AST,STATS_TIMEFRAME,SEASON
203919,Adams,Jordan,jordan-adams,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,3,G,6-5,209,UCLA,USA,2014.0,1.0,22.0,1.0,2014,2015,3.5,1.0,1.5,Season,2015-16
1626146,Alexander,Cliff,cliff-alexander,1610612757,blazers,0,Portland,Trail Blazers,POR,34,F,6-8,240,Kansas,USA,,,,1.0,2015,2015,1.3,0.8,0.0,Season,2015-16
200811,Amundson,Lou,lou-amundson,1610612752,knicks,0,New York,Knicks,NYK,17,F,6-9,220,UNLV,USA,,,,1.0,2006,2015,1.8,1.7,0.4,Season,2015-16
2365,Andersen,Chris,chris-andersen,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,7,F-C,6-10,245,Blinn J.C.,USA,,,,1.0,2001,2016,3.9,3.6,0.4,Season,2015-16
202341,Anderson,James,james-anderson,1610612758,kings,0,Sacramento,Kings,SAC,5,G-F,6-6,213,Oklahoma State,USA,2010.0,1.0,20.0,1.0,2010,2015,3.5,1.7,0.8,Season,2015-16
203951,Appling,Keith,keith-appling,0,,0,,,,,G,6-1,185,Michigan State,USA,,,,,2015,2015,1.2,0.2,0.2,Season,2015-16
201965,Ayres,Jeff,jeff-ayres,1610612746,clippers,0,LA,Clippers,LAC,19,F-C,6-9,250,Arizona State,USA,2009.0,2.0,31.0,1.0,2009,2015,1.8,1.3,0.3,Season,2015-16
203946,Bairstow,Cameron,cameron-bairstow,1610612741,bulls,0,Chicago,Bulls,CHI,41,F-C,6-9,250,New Mexico,Australia,2014.0,2.0,49.0,1.0,2014,2015,1.9,1.6,0.3,Season,2015-16
200745,Bargnani,Andrea,andrea-bargnani,0,,0,,,,,C-F,7-0,245,Benetton Treviso,Italy,2006.0,1.0,1.0,,2006,2015,6.6,2.1,0.4,Season,2015-16
201971,Blair,DeJuan,dejuan-blair,0,,0,,,,,C-F,6-7,270,Pittsburgh,USA,2009.0,2.0,37.0,,2009,2015,2.1,2.0,0.4,Season,2015-16
2581,Blake,Steve,steve-blake,1610612765,pistons,0,Detroit,Pistons,DET,22,G,6-3,172,Maryland,USA,2003.0,2.0,38.0,1.0,2003,2015,4.4,1.5,3.4,Season,2015-16
2588,Bonner,Matt,matt-bonner,1610612759,spurs,0,San Antonio,Spurs,SAS,15,C-F,6-10,235,Florida,USA,2003.0,2.0,45.0,1.0,2004,2015,2.5,0.9,0.3,Season,2015-16
2547,Bosh,Chris,chris-bosh,1610612748,heat,0,Miami,Heat,MIA,1,F,6-11,235,Georgia Tech,USA,2003.0,1.0,4.0,1.0,2003,2016,19.1,7.4,2.4,Season,2015-16
1882,Brand,Elton,elton-brand,1610612755,sixers,0,Philadelphia,76ers,PHI,42,F,6-9,254,Duke,USA,1999.0,1.0,1.0,1.0,1999,2015,4.1,3.7,1.1,Season,2015-16
977,Bryant,Kobe,kobe-bryant,1610612747,lakers,0,Los Angeles,Lakers,LAL,24,F-G,6-6,212,Lower Merion HS (PA),USA,1996.0,1.0,13.0,1.0,1996,2015,17.6,3.7,2.8,Season,2015-16
201978,Budinger,Chase,chase-budinger,1610612756,suns,0,Phoenix,Suns,PHX,10,F,6-7,209,Arizona,USA,2009.0,2.0,44.0,1.0,2009,2015,4.1,2.3,1.0,Season,2015-16
2406,Butler,Caron,caron-butler,1610612758,kings,0,Sacramento,Kings,SAC,31,F,6-7,228,Connecticut,USA,2002.0,1.0,10.0,1.0,2002,2015,3.7,1.3,0.6,Season,2015-16
2446,Butler,Rasual,rasual-butler,0,,0,,,,,F,6-7,215,La Salle,USA,2002.0,2.0,52.0,,2002,2015,2.7,1.2,0.5,Season,2015-16
1626262,Clarke,Coty,coty-clarke,0,,0,,,,,F,6-7,225,Arkansas,USA,,,,,2015,2015,2.0,0.3,0.0,Season,2015-16
203142,Copeland,Chris,chris-copeland,0,,0,,,,,F,6-9,239,Colorado,USA,,,,,2012,2015,2.1,0.4,0.5,Season,2015-16
203955,Cotton,Bryce,bryce-cotton,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,8,G,6-1,165,Providence,USA,,,,1.0,2014,2015,1.0,0.0,0.4,Season,2015-16
203099,Cunningham,Jared,jared-cunningham,0,,0,,,,,G,6-4,195,Oregon State,USA,2012.0,1.0,24.0,,2012,2015,2.7,0.9,0.5,Season,2015-16
1626183,Dawson,Branden,branden-dawson,1610612746,clippers,0,LA,Clippers,LAC,22,F,6-6,225,Michigan State,USA,2015.0,2.0,56.0,1.0,2015,2015,0.8,0.7,0.0,Season,2015-16
1626214,Dejean-Jones,Bryce,bryce-dejean-jones,0,,0,,,,,G,6-6,203,Iowa State,USA,,,,,2015,2015,5.6,3.4,1.1,Season,2015-16
201962,Douglas,Toney,toney-douglas,1610612740,pelicans,0,New Orleans,Pelicans,NOP,16,G,6-2,195,Florida State,USA,2009.0,1.0,29.0,1.0,2009,2016,8.7,2.3,2.6,Season,2015-16
1626251,Dukan,Duje,duje-dukan,1610612758,kings,0,Sacramento,Kings,SAC,26,F,6-9,220,Wisconsin,Croatia,,,,1.0,2015,2015,6.0,4.0,1.0,Season,2015-16
1495,Duncan,Tim,tim-duncan,1610612759,spurs,0,San Antonio,Spurs,SAS,21,C-F,6-11,250,Wake Forest,US Virgin Islands,1997.0,1.0,1.0,1.0,1997,2015,8.6,7.3,2.7,Season,2015-16
203921,Early,Cleanthony,cleanthony-early,1610612752,knicks,0,New York,Knicks,NYK,11,F,6-8,210,Wichita State,USA,2014.0,2.0,34.0,1.0,2014,2015,1.8,1.5,0.4,Season,2015-16
203105,Ezeli,Festus,festus-ezeli,1610612744,warriors,0,Golden State,Warriors,GSW,31,C,6-11,265,Vanderbilt,Nigeria,2012.0,1.0,30.0,1.0,2012,2016,7.0,5.6,0.7,Season,2015-16
200770,Farmar,Jordan,jordan-farmar,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,4,G,6-2,180,UCLA,USA,2006.0,1.0,26.0,1.0,2006,2016,9.2,2.1,3.1,Season,2015-16
708,Garnett,Kevin,kevin-garnett,1610612750,timberwolves,0,Minnesota,Timberwolves,MIN,21,F,6-11,240,Farragut Academy HS (IL),USA,1995.0,1.0,5.0,1.0,1995,2015,3.2,3.9,1.6,Season,2015-16
202087,Gee,Alonzo,alonzo-gee,1610612740,pelicans,0,New Orleans,Pelicans,NOP,15,F,6-6,225,Alabama,USA,,,,1.0,2009,2016,4.5,3.4,1.0,Season,2015-16
2400,Gooden,Drew,drew-gooden,1610612764,wizards,0,Washington,Wizards,WAS,90,F,6-10,250,Kansas,USA,2002.0,1.0,4.0,1.0,2002,2015,2.7,2.8,0.4,Season,2015-16
202726,Goudelock,Andrew,andrew-goudelock,1610612745,rockets,0,Houston,Rockets,HOU,0,G,6-3,200,Charleston,USA,2011.0,2.0,46.0,1.0,2011,2015,2.8,0.3,0.5,Season,2015-16
203475,Green,Erick,erick-green,0,,0,,,,,G,6-4,185,Virginia Tech,USA,2013.0,2.0,46.0,,2014,2015,1.4,0.7,0.3,Season,2015-16
203268,Gutierrez,Jorge,jorge-gutierrez,1610612766,hornets,0,Charlotte,Hornets,CHA,12,G,6-3,189,California,Mexico,,,,1.0,2013,2015,1.8,0.6,1.4,Season,2015-16
203798,Hairston,PJ,pj-hairston,1610612763,grizzlies,0,Memphis,Grizzlies,MEM,19,F-G,6-6,230,North Carolina,USA,2014.0,1.0,26.0,1.0,2014,2015,6.2,2.6,0.6,Season,2015-16
202706,Hamilton,Jordan,jordan-hamilton,1610612740,pelicans,0,New Orleans,Pelicans,NOP,25,G-F,6-7,220,Texas,USA,2011.0,1.0,26.0,1.0,2011,2015,11.4,5.6,2.3,Season,2015-16
201946,Hansbrough,Tyler,tyler-hansbrough,1610612766,hornets,0,Charlotte,Hornets,CHA,50,F,6-9,250,North Carolina,USA,2009.0,1.0,13.0,1.0,2009,2015,2.4,2.0,0.2,Season,2015-16
101236,Hayes,Chuck,chuck-hayes,0,,0,,,,,F-C,6-6,240,Kentucky,USA,,,,,2005,2015,2.0,4.0,1.0,Season,2015-16
201581,Hickson,JJ,jj-hickson,1610612764,wizards,0,Washington,Wizards,WAS,21,C-F,6-9,242,North Carolina State,USA,2008.0,1.0,19.0,1.0,2008,2015,5.9,3.8,0.7,Season,2015-16
2550,Hinrich,Kirk,kirk-hinrich,1610612737,hawks,0,Atlanta,Hawks,ATL,12,G,6-4,190,Kansas,USA,2003.0,1.0,7.0,1.0,2003,2015,3.0,1.5,1.6,Season,2015-16
204066,Holland,John,john-holland,1610612738,celtics,0,Boston,Celtics,BOS,30,G-F,6-5,205,Boston University,USA,,,,1.0,2015,2018,,,,Season,2015-16
200797,Hollins,Ryan,ryan-hollins,0,,0,,,,,C,7-0,240,UCLA,USA,2006.0,2.0,50.0,,2006,2015,3.4,2.6,0.3,Season,2015-16
1626273,Huertas,Marcelo,marcelo-huertas,1610612747,lakers,0,Los Angeles,Lakers,LAL,9,G,6-3,200,FC Barcelona,Brazil,,,,1.0,2015,2016,4.5,1.7,3.4,Season,2015-16
203996,Inglis,Damien,damien-inglis,1610612749,bucks,0,Milwaukee,Bucks,MIL,17,F,6-8,246,Chorale Roanne,France,2014.0,2.0,31.0,1.0,2014,2015,1.8,1.6,0.5,Season,2015-16
203928,Jefferson,Cory,cory-jefferson,0,,0,,,,,F,6-9,218,Baylor,USA,2014.0,2.0,60.0,,2014,2015,2.8,2.0,0.0,Season,2015-16
203187,Johnson,Chris,chris-johnson,1610612762,jazz,0,Utah,Jazz,UTA,23,F,6-6,206,University of Dayton,USA,,,,1.0,2012,2015,2.9,1.9,0.6,Season,2015-16
